,title,rank,date,artist,url,region,chart,trend,streams,date_objects
25224198,Mon Amour - Remix,1,2021-12-31,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,Andorra,viral50,SAME_POSITION,,2021-12-31
25224199,DANCE CRIP,2,2021-12-31,Trueno,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV,Andorra,viral50,SAME_POSITION,,2021-12-31
25224200,Tacones Rojos,3,2021-12-31,Sebastian Yatra,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2,Andorra,viral50,SAME_POSITION,,2021-12-31
25224201,Cold Heart - PNAU Remix,4,2021-12-31,"Elton John, Dua Lipa",https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39,Andorra,viral50,MOVE_UP,,2021-12-31
25224202,Aquel Nap ZzZz,5,2021-12-31,Rauw Alejandro,https://open.spotify.com/track/5bQLsyTrUaMQRfr6whwGe5,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224203,LA FAMA (with The Weeknd),6,2021-12-31,ROSALÍA,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK,Andorra,viral50,SAME_POSITION,,2021-12-31
25224204,No Te Deseo el Mal,7,2021-12-31,"Eladio Carrion, KAROL G",https://open.spotify.com/track/3HQxzXOb4p9pfpD5gP38D5,Andorra,viral50,MOVE_UP,,2021-12-31
25224205,El Incomprendido,8,2021-12-31,"Farruko, Victor Cardenas, Dj Adoni",https://open.spotify.com/track/2mL37yB3f3Lfy4iiXV02Qf,Andorra,viral50,MOVE_UP,,2021-12-31
25224206,INMORTALES,9,2021-12-31,Funzo & Baby Loud,https://open.spotify.com/track/4nVuhPrmtIO1m2hRrtxBlI,Andorra,viral50,MOVE_UP,,2021-12-31
25224207,Sabe,10,2021-12-31,"Nicki Nicole, Rauw Alejandro",https://open.spotify.com/track/0XYZhJIcwKNjd0tjbSXwaQ,Andorra,viral50,MOVE_UP,,2021-12-31
25224208,Do It To It,11,2021-12-31,"ACRAZE, Cherish",https://open.spotify.com/track/20on25jryn53hWghthWWW3,Andorra,viral50,MOVE_UP,,2021-12-31
25224209,Ateo,12,2021-12-31,"C. Tangana, Nathy Peluso",https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224210,love nwantiti (ah ah ah),13,2021-12-31,CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,Andorra,viral50,MOVE_UP,,2021-12-31
25224211,Pepas,14,2021-12-31,Farruko,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224212,abcdefu,15,2021-12-31,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224213,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),16,2021-12-31,Tainy,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224214,Colorín Colorado,17,2021-12-31,Justin Quiles,https://open.spotify.com/track/2YZDh5CecWx0qlFiTvqVQ9,Andorra,viral50,MOVE_UP,,2021-12-31
25224215,My Universe,18,2021-12-31,"Coldplay, BTS",https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224216,Bar,19,2021-12-31,"TINI, L-Gante",https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224217,She Don't Give a Fo,20,2021-12-31,"Duki, KHEA",https://open.spotify.com/track/03a359wbiUsjN9h6yzXvmS,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224218,Dile (Homenaje),21,2021-12-31,Jhay Cortez,https://open.spotify.com/track/073yIM7v2j6XadD4Nkn0Fh,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224219,Veneno,22,2021-12-31,"Delaossa, KIDDO, J.Moods",https://open.spotify.com/track/5BopknbHSxEm9Ohcs4IbGu,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224220,Easy On Me,23,2021-12-31,Adele,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224221,Porfa no te vayas,24,2021-12-31,"Beret, Morat",https://open.spotify.com/track/4J2HLNTxiVxxs6kWgTIN43,Andorra,viral50,MOVE_UP,,2021-12-31
25224222,Miénteme,25,2021-12-31,"TINI, Maria Becerra",https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc,Andorra,viral50,MOVE_UP,,2021-12-31
25224223,Berlín,26,2021-12-31,Aitana,https://open.spotify.com/track/5N5GaRpXYZl5ZKKU5a5LtH,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224224,Ley Seca,27,2021-12-31,"Jhay Cortez, Anuel AA",https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224225,Música Ligera,28,2021-12-31,Ana Mena,https://open.spotify.com/track/1lMuQJHBznRfq7GdQrIQN4,Andorra,viral50,MOVE_UP,,2021-12-31
25224226,La Old Skul,29,2021-12-31,Rauw Alejandro,https://open.spotify.com/track/4Z8HZSApeddaRM2ovivUj4,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224227,Tu Y Yo (feat. Los del Control),30,2021-12-31,Cano,https://open.spotify.com/track/5pVEORKrVAtcWOEMJlZCFB,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224228,Enemy (with JID) - from the series Arcane League of Legends,31,2021-12-31,Imagine Dragons,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224229,La Boca Junta,32,2021-12-31,"Melendi, Mau y Ricky",https://open.spotify.com/track/0rFD2VyCIu2ToXbkvlsKJv,Andorra,viral50,MOVE_UP,,2021-12-31
25224230,Ella - Remix,33,2021-12-31,"Boza, Lunay, Lenny Tavárez, Juhn, Beéle",https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224231,Entre Nosotros,34,2021-12-31,"Tiago PZK, LIT killah",https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224232,Cuando Ella Sale,35,2021-12-31,Morad,https://open.spotify.com/track/0bxzF2Kyql0pQ58Mymztue,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224233,Heat Waves,36,2021-12-31,Glass Animals,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,Andorra,viral50,SAME_POSITION,,2021-12-31
25224234,YIN YAN,37,2021-12-31,"Duki, Rels B",https://open.spotify.com/track/6KGGhJoXrztLp8ZT91zizs,Andorra,viral50,MOVE_UP,,2021-12-31
25224235,Mamichula - con Nicki Nicole,38,2021-12-31,"Trueno, Bizarrap, Taiu, TATOOL",https://open.spotify.com/track/0TUW9faHNaBmi89wsYGp9y,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224236,Sin Frenos,39,2021-12-31,"Eladio Carrion, Bizarrap, Duki",https://open.spotify.com/track/1b62AO1IzcVr5SOgoguc9o,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224237,THATS WHAT I WANT,40,2021-12-31,Lil Nas X,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224238,Cómo Están?,41,2021-12-31,"Morad, Trobi",https://open.spotify.com/track/5UnRXuem4qHseiCREBB7D7,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224239,Eso Que Tú Me Das,42,2021-12-31,Jarabe De Palo,https://open.spotify.com/track/40tFJtuES1da2fg0OurUdI,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224240,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",43,2021-12-31,"Bizarrap, Nathy Peluso",https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224241,Un Año Mas,44,2021-12-31,Mecano,https://open.spotify.com/track/2cRx7vvWzuf4FrYWZBubJk,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224242,Moth To A Flame (with The Weeknd),45,2021-12-31,Swedish House Mafia,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224243,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,46,2021-12-31,CKay,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224244,With Or Without You - Remastered,47,2021-12-31,U2,https://open.spotify.com/track/6ADSaE87h8Y3lccZlBJdXH,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224245,Tiroteo - Remix,48,2021-12-31,"Marc Seguí, Rauw Alejandro, Pol Granch",https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224246,Ingobernable,49,2021-12-31,"C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo",https://open.spotify.com/track/3SK45LddxlEkzI8OWO9Eyo,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224247,Shivers,50,2021-12-31,Ed Sheeran,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224248,TITAN,1,2021-12-31,Salastkbron,https://open.spotify.com/track/5fBQLapwAPSLw27STml9kr,Argentina,viral50,SAME_POSITION,,2021-12-31
25224249,No se habla de Bruno,2,2021-12-31,"Carolina Gaitán - La Gaita, Mauro Castillo, Daniela Sierra, Juanse Diez, Isabel Garcés, Olga Lucía Vives, Encanto - Elenco",https://open.spotify.com/track/5QKk5N5xJQGsWMhPM80Kfv,Argentina,viral50,SAME_POSITION,,2021-12-31
25224250,I AM WOMAN,3,2021-12-31,Emmy Meli,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,Argentina,viral50,SAME_POSITION,,2021-12-31
25224251,Mon Amour - Remix,4,2021-12-31,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,Argentina,viral50,SAME_POSITION,,2021-12-31
25224252,Otra Noche,5,2021-12-31,"Los Ángeles Azules, Nicki Nicole",https://open.spotify.com/track/5i82o3878xCPNCUK8VIeqX,Argentina,viral50,SAME_POSITION,,2021-12-31
25224253,ELEVEN,6,2021-12-31,IVE,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr,Argentina,viral50,SAME_POSITION,,2021-12-31
25224254,We Don't Talk About Bruno,7,2021-12-31,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz,Argentina,viral50,MOVE_UP,,2021-12-31
25224255,Bang Bang,8,2021-12-31,"K'NAAN, Adam Levine",https://open.spotify.com/track/61YzdCCBPM5Pc7lIiD5i8C,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224256,En lo profundo/Peso,9,2021-12-31,Sugey Torres,https://open.spotify.com/track/4mEIqavz99DpHXxi3wK46I,Argentina,viral50,MOVE_UP,,2021-12-31
25224257,DANCE CRIP,10,2021-12-31,Trueno,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV,Argentina,viral50,SAME_POSITION,,2021-12-31
25224258,Do It To It,11,2021-12-31,"ACRAZE, Cherish",https://open.spotify.com/track/20on25jryn53hWghthWWW3,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224259,abcdefu,12,2021-12-31,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,Argentina,viral50,SAME_POSITION,,2021-12-31
25224260,MIDDLE OF THE NIGHT,13,2021-12-31,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,Argentina,viral50,MOVE_UP,,2021-12-31
25224261,Pa Tra Rkt,14,2021-12-31,"Callejero Fino, Pusho DJ",https://open.spotify.com/track/1CpRJLarXSUho5AopXxNQj,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224262,La familia Madrigal,15,2021-12-31,"Olga Lucía Vives, Yaneth Waldman, Encanto - Elenco",https://open.spotify.com/track/6740sbqgB64LZopHUEiBG8,Argentina,viral50,SAME_POSITION,,2021-12-31
25224263,Universo Paralelo,16,2021-12-31,"La K'onga, Nahuel Pennisi",https://open.spotify.com/track/6LBpjWMfy1NUfyxAJbcMRs,Argentina,viral50,SAME_POSITION,,2021-12-31
25224264,MESITA | Mission 05,17,2021-12-31,"Alan Gomez, Mesita",https://open.spotify.com/track/4WaopyDgvKQP6T852K9boe,Argentina,viral50,SAME_POSITION,,2021-12-31
25224265,Hasta la Raíz,18,2021-12-31,Natalia Lafourcade,https://open.spotify.com/track/3lGMtkONrZdJ8kTCg6KIFf,Argentina,viral50,SAME_POSITION,,2021-12-31
25224266,Bar,19,2021-12-31,"TINI, L-Gante",https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC,Argentina,viral50,SAME_POSITION,,2021-12-31
25224267,Los Tragos,20,2021-12-31,"Reik, Maria Becerra",https://open.spotify.com/track/7iXJg4IUyrWont5YSQrbKP,Argentina,viral50,MOVE_UP,,2021-12-31
25224268,Inténtalo (feat. América Sierra & El Bebeto),21,2021-12-31,"3BallMTY, América Sierra",https://open.spotify.com/track/61aPpbJMAD5BjWkiHeX9R6,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224269,Cold Heart - PNAU Remix,22,2021-12-31,"Elton John, Dua Lipa",https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224270,Sesion 11 Alejo Isakk,23,2021-12-31,pandora producciones,https://open.spotify.com/track/6IDsVl9QQCiF8NhDV7Xdt5,Argentina,viral50,SAME_POSITION,,2021-12-31
25224271,YIN YAN,24,2021-12-31,"Duki, Rels B",https://open.spotify.com/track/6KGGhJoXrztLp8ZT91zizs,Argentina,viral50,MOVE_UP,,2021-12-31
25224272,Cuando Me Ves,25,2021-12-31,"Dani Ribba, Tiago PZK",https://open.spotify.com/track/6t4YfQwwCZS5NIVJelVa9y,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224273,Formentera,26,2021-12-31,"Aitana, Nicki Nicole",https://open.spotify.com/track/3nfICwo20uiFdEGzgNUSrG,Argentina,viral50,SAME_POSITION,,2021-12-31
25224274,Taca a Xereca pra Mim,27,2021-12-31,MC Kaique da VP,https://open.spotify.com/track/2GqCEJpzmD81AJ2H0Hyz5T,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224275,Tacones Rojos,28,2021-12-31,Sebastian Yatra,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2,Argentina,viral50,MOVE_UP,,2021-12-31
25224276,BB,29,2021-12-31,"MYA, Emilia",https://open.spotify.com/track/3sVuWmggRqfAK3qk7OIEAz,Argentina,viral50,MOVE_UP,,2021-12-31
25224277,El Mismo Aire,30,2021-12-31,La K'onga,https://open.spotify.com/track/7onMf0QvWgRba2MRxG27yj,Argentina,viral50,MOVE_UP,,2021-12-31
25224278,Funky de Antes,31,2021-12-31,"Letan, Menor",https://open.spotify.com/track/4yMWMZEesltigOANqYkaWo,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224279,Pope Is a Rockstar,32,2021-12-31,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224280,Alien Blues,33,2021-12-31,Vundabar,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x,Argentina,viral50,SAME_POSITION,,2021-12-31
25224281,Inspiración,34,2021-12-31,"Olga Lucía Vives, Isabel Garcés",https://open.spotify.com/track/0luqiaAZqlVRhwVpooWC8s,Argentina,viral50,MOVE_UP,,2021-12-31
25224282,No Te Deseo el Mal,35,2021-12-31,"Eladio Carrion, KAROL G",https://open.spotify.com/track/3HQxzXOb4p9pfpD5gP38D5,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224283,Enemy (with JID) - from the series Arcane League of Legends,36,2021-12-31,Imagine Dragons,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224284,Medallo,37,2021-12-31,"Blessd, Justin Quiles, Lenny Tavárez",https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw,Argentina,viral50,MOVE_UP,,2021-12-31
25224285,Own Brand Freestyle,38,2021-12-31,"FelixThe1st, Dreya Mac, Finch Fetti",https://open.spotify.com/track/6Jzdxguk63s6CVVXHIrQ0x,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224286,Sin Frenos,39,2021-12-31,"Eladio Carrion, Bizarrap, Duki",https://open.spotify.com/track/1b62AO1IzcVr5SOgoguc9o,Argentina,viral50,MOVE_UP,,2021-12-31
25224287,Convéncete,40,2021-12-31,Princesa Alba,https://open.spotify.com/track/5UyH584f99c7qErZifyaHy,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224288,Turreo y Rkt 2,41,2021-12-31,Alta Previa,https://open.spotify.com/track/5nBOwBS9cLPRruHe6XNIoF,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224289,Bff <3,42,2021-12-31,DEKKO,https://open.spotify.com/track/1i1RYy42uVr7KBCpA5Gjym,Argentina,viral50,MOVE_UP,,2021-12-31
25224290,Salimo de Noche,43,2021-12-31,"Tiago PZK, Trueno",https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224291,HEGEMONICA,44,2021-12-31,"Dillom, L-Gante",https://open.spotify.com/track/4EROxQ47IZNf5fOFC3MbA0,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224292,"Gone, Gone, Gone",45,2021-12-31,Phillip Phillips,https://open.spotify.com/track/2qHiyBpxyOXnRGG3t2iE96,Argentina,viral50,SAME_POSITION,,2021-12-31
25224293,Conteo - Turreo Edit,46,2021-12-31,"Jona Caso, dj mutha",https://open.spotify.com/track/0aayaZcSL6LTQj821t9PRQ,Argentina,viral50,NEW_ENTRY,,2021-12-31
25224294,Noche de Party,47,2021-12-31,"Migrantes, Nico Valdi",https://open.spotify.com/track/4PDoCa5P0QK7KFhTsEKJB8,Argentina,viral50,MOVE_DOWN,,2021-12-31
25224295,TOP 5,48,2021-12-31,Duki,https://open.spotify.com/track/7JZ5mOTea5T4LH0UdwCsWx,Argentina,viral50,NEW_ENTRY,,2021-12-31
25224296,Tamo Chelo,49,2021-12-31,EL NOBA,https://open.spotify.com/track/1Hv5uEwnI5UQEFvHWJaL3T,Argentina,viral50,SAME_POSITION,,2021-12-31
25224297,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),50,2021-12-31,Taylor Swift,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,Argentina,viral50,SAME_POSITION,,2021-12-31
25224298,We Don't Talk About Bruno,1,2021-12-31,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz,Australia,viral50,SAME_POSITION,,2021-12-31
25224299,TO THE,2,2021-12-31,GoldSkull,https://open.spotify.com/track/3kvm9xedJN0uVx9kFmcFdf,Australia,viral50,MOVE_UP,,2021-12-31
25224300,Down Under (feat. Colin Hay),3,2021-12-31,Luude,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2,Australia,viral50,MOVE_DOWN,,2021-12-31
25224301,Surface Pressure,4,2021-12-31,Jessica Darrow,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU,Australia,viral50,SAME_POSITION,,2021-12-31
25224302,"30/90 (from ""tick, tick... BOOM!"" Soundtrack from the Netflix Film)",5,2021-12-31,"Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez",https://open.spotify.com/track/55MIRLbZzpYSmMlRt9ZDWM,Australia,viral50,MOVE_UP,,2021-12-31
25224303,Swimming Pool,6,2021-12-31,Marie Madeleine,https://open.spotify.com/track/3BMqVk2NJbH4fxf84e8kDC,Australia,viral50,MOVE_UP,,2021-12-31
25224304,Shake,7,2021-12-31,"IShowSpeed, Aura The Scientist",https://open.spotify.com/track/18pZAkoz9eNXd6gpy48RQL,Australia,viral50,MOVE_UP,,2021-12-31
25224305,Elevate,8,2021-12-31,Nemzzz,https://open.spotify.com/track/0nmW4fvqTwUDjlz13MNpJU,Australia,viral50,MOVE_UP,,2021-12-31
25224306,I AM WOMAN,9,2021-12-31,Emmy Meli,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb,Australia,viral50,MOVE_UP,,2021-12-31
25224307,ELEVEN,10,2021-12-31,IVE,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr,Australia,viral50,MOVE_UP,,2021-12-31
25224308,What Else Can I Do?,11,2021-12-31,"Diane Guerrero, Stephanie Beatriz",https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG,Australia,viral50,MOVE_UP,,2021-12-31
25224309,Love Grows (Where My Rosemary Goes),12,2021-12-31,Edison Lighthouse,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh,Australia,viral50,MOVE_UP,,2021-12-31
25224310,abcdefu,13,2021-12-31,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,Australia,viral50,MOVE_UP,,2021-12-31
25224311,Fairytale of New York (feat. Kirsty MacColl),14,2021-12-31,The Pogues,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,Australia,viral50,MOVE_DOWN,,2021-12-31
25224312,I Can Feel It,15,2021-12-31,Sickick,https://open.spotify.com/track/1Wx3fls2p1CXqXtm3xlJeZ,Australia,viral50,SAME_POSITION,,2021-12-31
25224313,Sunroof,16,2021-12-31,"Nicky Youre, dazy",https://open.spotify.com/track/3RfTeIrWS8LNrfHYwechtt,Australia,viral50,SAME_POSITION,,2021-12-31
25224314,We Run The Night - Teddy Cream Remix,17,2021-12-31,"Havana Brown, Hooligan Hefs",https://open.spotify.com/track/0qOvlEzD7xU35GLFT8DF1t,Australia,viral50,MOVE_UP,,2021-12-31
25224315,Just A Little While,18,2021-12-31,The 502s,https://open.spotify.com/track/3CL0eXel8usNNSCQ6OT7KJ,Australia,viral50,SAME_POSITION,,2021-12-31
25224316,Do It To It,19,2021-12-31,"ACRAZE, Cherish",https://open.spotify.com/track/20on25jryn53hWghthWWW3,Australia,viral50,MOVE_UP,,2021-12-31
25224317,Material Girl,20,2021-12-31,Saucy Santana,https://open.spotify.com/track/6nQ1B216Liiydhgn2gar0o,Australia,viral50,MOVE_UP,,2021-12-31
25224318,White Wine In The Sun,21,2021-12-31,Tim Minchin,https://open.spotify.com/track/7bt3TLDjML5nTTpxVySIiV,Australia,viral50,MOVE_DOWN,,2021-12-31
25224319,The Family Madrigal,22,2021-12-31,"Stephanie Beatriz, Olga Merediz, Encanto - Cast",https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp,Australia,viral50,MOVE_UP,,2021-12-31
25224320,Floor Is Lava,23,2021-12-31,Lance Savali,https://open.spotify.com/track/3WnslAx9QkbZpcGpM0PzCy,Australia,viral50,MOVE_DOWN,,2021-12-31
25224321,My Humps,24,2021-12-31,"Joshwa, Lee Foss",https://open.spotify.com/track/5WoBAyXaOnKEfvsZocrPeT,Australia,viral50,MOVE_UP,,2021-12-31
25224322,Alien Blues,25,2021-12-31,Vundabar,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x,Australia,viral50,MOVE_UP,,2021-12-31
25224323,Therapy,26,2021-12-31,"Andrew Garfield, Vanessa Hudgens",https://open.spotify.com/track/1iFgG6BeEPTbXsAok6zYxR,Australia,viral50,MOVE_DOWN,,2021-12-31
25224324,Dos Oruguitas,27,2021-12-31,Sebastian Yatra,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo,Australia,viral50,MOVE_UP,,2021-12-31
25224325,It's Called: Freefall,28,2021-12-31,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,Australia,viral50,MOVE_DOWN,,2021-12-31
25224326,Pope Is a Rockstar,29,2021-12-31,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,Australia,viral50,MOVE_DOWN,,2021-12-31
25224327,Beverly Hills,30,2021-12-31,Shaboozey,https://open.spotify.com/track/3Ps0JFaxBuamCoQTx6X8LT,Australia,viral50,SAME_POSITION,,2021-12-31
25224328,Boho Days,31,2021-12-31,"Andrew Garfield, Robin de Jesus, Alexandra Shipp, Joshua Henry, Vanessa Hudgens",https://open.spotify.com/track/7k5agf3Bo48jyzXrvrMuhb,Australia,viral50,SAME_POSITION,,2021-12-31
25224329,Coconuts,32,2021-12-31,Kim Petras,https://open.spotify.com/track/71yN0yrHej3jhKXewbmtEh,Australia,viral50,MOVE_UP,,2021-12-31
25224330,Waiting On A Miracle,33,2021-12-31,Stephanie Beatriz,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt,Australia,viral50,MOVE_UP,,2021-12-31
25224331,Frozen Gold,34,2021-12-31,MKAY,https://open.spotify.com/track/0yKiMguQ0krHIg1mnZxHaC,Australia,viral50,MOVE_UP,,2021-12-31
25224332,I Hate U,35,2021-12-31,SZA,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H,Australia,viral50,SAME_POSITION,,2021-12-31
25224333,Move Your Body,36,2021-12-31,"Öwnboss, Sevek",https://open.spotify.com/track/6GomT970rCOkKAyyrwJeZi,Australia,viral50,MOVE_UP,,2021-12-31
25224334,Coming for You (feat. A1 x J1),37,2021-12-31,SwitchOTR,https://open.spotify.com/track/1xIqDFx3KdByBnKMlTECcM,Australia,viral50,MOVE_UP,,2021-12-31
25224335,Ginseng Strip 2002,38,2021-12-31,Yung Lean,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc,Australia,viral50,SAME_POSITION,,2021-12-31
25224336,Sunset,39,2021-12-31,pixelbobby,https://open.spotify.com/track/0LBpzdYnWesRulHJOxWlC4,Australia,viral50,MOVE_DOWN,,2021-12-31
25224337,Cpr,40,2021-12-31,cupcakKe,https://open.spotify.com/track/35mBYyB61qTcGGj7MXIRM1,Australia,viral50,MOVE_UP,,2021-12-31
25224338,La Espada,41,2021-12-31,Eternal Raijin,https://open.spotify.com/track/6w969Gr8VhF02vaHs67oo9,Australia,viral50,MOVE_UP,,2021-12-31
25224339,MIDDLE OF THE NIGHT,42,2021-12-31,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,Australia,viral50,MOVE_UP,,2021-12-31
25224340,The Talking Stage Game,43,2021-12-31,MiSTah Kye,https://open.spotify.com/track/14tu1tKyRNKh7xvAIOQViJ,Australia,viral50,MOVE_DOWN,,2021-12-31
25224341,God Must Hate Me,44,2021-12-31,Catie Turner,https://open.spotify.com/track/21xzFXSL2XkZ2mIzDDAqTK,Australia,viral50,MOVE_UP,,2021-12-31
25224342,edamame (feat. Rich Brian),45,2021-12-31,bbno$,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63,Australia,viral50,NEW_ENTRY,,2021-12-31
25224343,How To Make Gravy,46,2021-12-31,Paul Kelly,https://open.spotify.com/track/72tIvJRS5lTCjWQRjwjBQC,Australia,viral50,MOVE_DOWN,,2021-12-31
